Userid,User_os,90days_purchase_time,90days_per_purchase_price,90days_purchase_amount,90days_coupon_time,90days_coupon_ratio,Last_purchase_day,group,is_add
87,Android,8,228,1824,3,0.375,71,对照组,0
88,iOS,5,234,1170,4,0.8,41,对照组,0
89,Android,5,225,1125,3,0.6,48,对照组,0
90,Android,1,137,137,0,0.0,44,对照组,0
91,Android,1,257,257,0,0.0,10,对照组,1
92,Android,1,55,55,0,0.0,80,对照组,0
93,Android,2,160,320,1,0.5,10,对照组,1
94,Android,5,145,725,4,0.8,59,对照组,1
95,Android,4,202,808,2,0.5,10,对照组,0
96,Android,2,126,252,1,0.5,90,对照组,0
97,Android,3,217,651,2,0.666666667,15,对照组,0
98,Android,2,206,412,2,1.0,55,对照组,1
99,Android,3,106,318,0,0.0,55,对照组,1
100,iOS,5,125,625,5,1.0,79,对照组,0
101,iOS,1,232,232,0,0.0,18,对照组,0
102,Android,3,135,405,2,0.666666667,6,对照组,0
103,Android,5,175,875,5,1.0,60,对照组,0
104,Android,2,113,226,0,0.0,24,对照组,0
105,Android,4,163,652,4,1.0,90,对照组,0
106,Android,19,170,3230,11,0.578947368,54,对照组,0
107,Android,3,90,270,2,0.666666667,3,对照组,1
108,Android,4,68,272,1,0.25,26,对照组,1
109,Android,2,194,388,1,0.5,20,对照组,0
110,iOS,3,95,285,2,0.666666667,25,对照组,1
111,Android,4,125,500,3,0.75,26,对照组,1
112,iOS,3,147,441,0,0.0,60,对照组,0
113,Android,1,96,96,0,0.0,5,对照组,1
114,Android,3,199,597,2,0.666666667,11,对照组,0
115,iOS,8,302,2416,4,0.5,30,对照组,1
116,Android,4,82,328,2,0.5,53,对照组,0
117,iOS,5,406,2030,3,0.6,47,对照组,0
118,Android,2,74,148,1,0.5,64,对照组,0
119,Android,5,259,1295,5,1.0,76,对照组,0
120,iOS,3,148,444,2,0.666666667,29,对照组,1
121,Android,1,136,136,0,0.0,26,对照组,0
122,iOS,3,139,417,2,0.666666667,34,对照组,0
123,Android,1,153,153,0,0.0,46,对照组,0
124,iOS,2,147,294,1,0.5,84,对照组,0
125,iOS,3,162,486,1,0.333333333,25,对照组,0
126,Android,3,105,315,1,0.333333333,73,对照组,0
127,Android,1,79,79,0,0.0,75,对照组,1
128,iOS,6,141,846,1,0.166666667,67,对照组,1
129,Android,4,184,736,1,0.25,83,对照组,0
130,Android,2,175,350,2,1.0,77,对照组,0
131,Android,1,74,74,0,0.0,10,对照组,0
132,iOS,2,191,382,2,1.0,49,对照组,0
133,iOS,2,386,772,1,0.5,87,对照组,1
134,iOS,3,152,456,2,0.666666667,41,对照组,0
135,iOS,2,158,316,1,0.5,8,对照组,0
136,iOS,1,223,223,0,0.0,29,对照组,0
137,iOS,2,149,298,0,0.0,22,对照组,0
138,iOS,2,152,304,2,1.0,29,对照组,0
139,iOS,4,80,320,2,0.5,75,对照组,0
140,iOS,2,324,648,0,0.0,79,对照组,0
141,Android,9,128,1152,7,0.777777778,19,对照组,1
142,iOS,1,127,127,0,0.0,37,对照组,0
143,Android,7,154,1078,0,0.0,49,对照组,0
144,Android,2,166,332,0,0.0,60,对照组,0
145,Android,5,221,1105,0,0.0,16,对照组,0
146,iOS,3,128,384,2,0.666666667,87,对照组,0
147,iOS,6,84,504,4,0.666666667,82,对照组,0
148,iOS,2,129,258,0,0.0,3,对照组,0
149,iOS,1,182,182,0,0.0,9,对照组,0
150,Android,7,142,994,0,0.0,25,对照组,0
151,iOS,3,83,249,0,0.0,51,对照组,0
152,iOS,3,144,432,0,0.0,48,对照组,1
153,iOS,6,111,666,3,0.5,1,对照组,0
154,iOS,1,92,92,0,0.0,69,对照组,0
155,iOS,4,223,892,2,0.5,8,对照组,1
156,Android,2,251,502,1,0.5,63,对照组,1
157,iOS,2,147,294,0,0.0,48,对照组,0
158,Android,3,145,435,0,0.0,35,对照组,0
159,iOS,1,111,111,0,0.0,61,对照组,0
160,Android,2,91,182,2,1.0,88,对照组,0
161,iOS,7,219,1533,1,0.142857143,3,对照组,0
162,iOS,5,149,745,2,0.4,90,对照组,0
163,Android,3,142,426,0,0.0,12,对照组,0
164,Android,3,449,1347,0,0.0,31,对照组,0
165,Android,2,348,696,2,1.0,72,对照组,0
166,iOS,7,185,1295,3,0.428571429,37,对照组,0
167,Android,2,207,414,1,0.5,83,对照组,0
168,iOS,3,101,303,2,0.666666667,41,对照组,0
169,iOS,6,150,900,5,0.833333333,19,对照组,0
170,Android,2,121,242,2,1.0,27,对照组,0
171,Android,8,117,936,8,1.0,53,对照组,0
172,iOS,1,101,101,0,0.0,42,对照组,0
173,iOS,9,59,531,6,0.666666667,17,对照组,1
174,Android,2,124,248,2,1.0,58,对照组,0
175,Android,2,218,436,1,0.5,38,对照组,0
176,Android,1,298,298,0,0.0,36,对照组,0
177,iOS,2,79,158,2,1.0,5,对照组,1
178,iOS,1,85,85,0,0.0,28,对照组,0
179,iOS,2,96,192,1,0.5,81,对照组,0
180,iOS,2,136,272,2,1.0,88,对照组,0
181,iOS,5,247,1235,0,0.0,33,对照组,0
182,iOS,3,121,363,2,0.666666667,81,对照组,0
183,Android,3,406,1218,2,0.666666667,59,对照组,0
184,iOS,1,171,171,0,0.0,58,对照组,0
185,iOS,1,140,140,0,0.0,33,对照组,0
186,iOS,10,133,1330,5,0.5,32,对照组,0
187,Android,2,125,250,1,0.5,49,对照组,1
188,iOS,9,44,396,3,0.333333333,71,对照组,0
189,iOS,2,220,440,2,1.0,83,对照组,1
190,Android,3,155,465,2,0.666666667,18,对照组,0
191,iOS,6,233,1398,2,0.333333333,6,对照组,0
192,iOS,7,111,777,1,0.142857143,61,对照组,1
193,iOS,3,123,369,2,0.666666667,49,对照组,0
194,iOS,2,207,414,2,1.0,34,对照组,0
195,iOS,3,178,534,3,1.0,79,对照组,0
196,Android,3,139,417,3,1.0,55,对照组,0
197,Android,5,99,495,2,0.4,50,对照组,0
198,Android,3,192,576,1,0.333333333,12,对照组,0
199,iOS,4,128,512,3,0.75,33,对照组,0
200,iOS,9,151,1359,2,0.222222222,46,对照组,0
201,iOS,4,155,620,3,0.75,9,对照组,1
202,Android,3,188,564,2,0.666666667,2,对照组,0
203,iOS,1,129,129,0,0.0,68,对照组,0
204,iOS,1,121,121,0,0.0,34,对照组,1
205,Android,4,116,464,4,1.0,20,对照组,1
206,iOS,3,409,1227,1,0.333333333,45,对照组,0
207,Android,2,197,394,1,0.5,19,对照组,0
208,Android,3,146,438,3,1.0,68,对照组,1
209,Android,3,153,459,2,0.666666667,44,对照组,0
210,iOS,6,125,750,6,1.0,36,对照组,1
211,iOS,3,230,690,2,0.666666667,16,对照组,0
212,iOS,2,140,280,2,1.0,79,对照组,0
213,iOS,5,204,1020,2,0.4,64,对照组,0
214,iOS,2,138,276,2,1.0,41,对照组,0
215,iOS,4,311,1244,3,0.75,34,对照组,0
216,iOS,2,152,304,2,1.0,38,对照组,0
217,Android,2,262,524,2,1.0,88,对照组,0
218,iOS,3,91,273,1,0.333333333,18,对照组,0
219,Android,3,257,771,1,0.333333333,61,对照组,0
220,iOS,4,155,620,3,0.75,59,对照组,1
221,iOS,2,114,228,2,1.0,67,对照组,0
222,iOS,1,282,282,0,0.0,82,对照组,1
223,Android,2,145,290,2,1.0,69,对照组,0
224,Android,5,172,860,3,0.6,22,对照组,1
225,Android,2,211,422,1,0.5,4,对照组,1
226,Android,2,176,352,2,1.0,42,对照组,0
227,iOS,5,143,715,5,1.0,36,对照组,0
228,Android,2,409,818,0,0.0,75,对照组,0
229,iOS,1,107,107,0,0.0,65,对照组,0
230,iOS,2,249,498,0,0.0,52,对照组,0
231,Android,2,240,480,2,1.0,3,对照组,0
232,Android,1,359,359,0,0.0,89,对照组,0
233,Android,2,50,100,2,1.0,44,对照组,0
234,Android,4,129,516,3,0.75,13,对照组,0
235,Android,3,263,789,0,0.0,7,对照组,0
236,Android,3,63,189,2,0.666666667,34,对照组,0
237,Android,10,70,700,0,0.0,79,对照组,0
238,Android,2,94,188,1,0.5,63,对照组,0
239,iOS,3,115,345,0,0.0,7,对照组,0
240,Android,2,331,662,0,0.0,28,对照组,0
241,Android,2,175,350,2,1.0,23,对照组,0
242,iOS,2,115,230,1,0.5,48,对照组,0
243,Android,2,123,246,2,1.0,19,对照组,1
244,iOS,3,189,567,3,1.0,20,对照组,0
245,iOS,14,132,1848,10,0.714285714,42,对照组,0
246,Android,2,165,330,1,0.5,58,对照组,0
247,iOS,2,76,152,0,0.0,80,对照组,0
248,iOS,3,69,207,1,0.333333333,45,对照组,1
249,iOS,4,295,1180,0,0.0,55,对照组,0
250,iOS,3,194,582,1,0.333333333,79,对照组,1
251,Android,7,126,882,6,0.857142857,14,对照组,0
252,iOS,1,271,271,0,0.0,12,对照组,0
253,Android,1,96,96,0,0.0,48,对照组,0
254,iOS,2,164,328,2,1.0,80,对照组,0
255,iOS,6,176,1056,5,0.833333333,46,对照组,1
256,iOS,1,108,108,0,0.0,86,对照组,1
257,iOS,1,164,164,0,0.0,27,对照组,0
258,Android,4,112,448,2,0.5,12,对照组,0
259,Android,3,105,315,2,0.666666667,1,对照组,0
260,iOS,1,134,134,0,0.0,71,对照组,1
261,iOS,1,98,98,0,0.0,8,对照组,0
262,Android,1,178,178,0,0.0,16,对照组,0
263,iOS,3,256,768,1,0.333333333,63,对照组,0
264,iOS,2,114,228,0,0.0,25,对照组,0
265,iOS,4,139,556,2,0.5,85,对照组,0
266,Android,1,163,163,0,0.0,67,对照组,1
267,Android,1,109,109,0,0.0,30,对照组,0
268,Android,1,179,179,0,0.0,7,对照组,1
269,iOS,2,164,328,2,1.0,44,对照组,0
270,iOS,2,323,646,1,0.5,87,对照组,0
271,Android,5,237,1185,2,0.4,59,对照组,0
272,Android,1,92,92,0,0.0,31,对照组,0
273,Android,3,167,501,2,0.666666667,16,对照组,0
274,Android,4,99,396,3,0.75,57,对照组,1
275,iOS,10,166,1660,7,0.7,37,对照组,0
276,Android,2,155,310,0,0.0,88,对照组,0
277,iOS,3,188,564,1,0.333333333,40,对照组,0
278,Android,1,245,245,0,0.0,77,对照组,0
279,iOS,1,236,236,0,0.0,28,对照组,1
280,Android,5,195,975,2,0.4,22,对照组,0
281,Android,3,210,630,0,0.0,82,对照组,0
282,Android,6,141,846,0,0.0,27,对照组,0
283,Android,1,85,85,0,0.0,20,对照组,0
284,iOS,4,297,1188,0,0.0,86,对照组,1
285,Android,10,341,3410,3,0.3,13,对照组,0
286,iOS,4,166,664,3,0.75,88,对照组,0
287,iOS,3,103,309,0,0.0,34,对照组,0
288,iOS,3,214,642,2,0.666666667,11,对照组,0
289,iOS,1,188,188,0,0.0,69,对照组,0
290,Android,7,143,1001,1,0.142857143,79,对照组,0
291,iOS,2,135,270,2,1.0,90,对照组,0
292,iOS,4,123,492,2,0.5,44,对照组,0
293,iOS,1,207,207,0,0.0,55,对照组,0
294,Android,1,210,210,0,0.0,7,对照组,0
295,Android,7,149,1043,2,0.285714286,22,对照组,1
296,Android,2,129,258,1,0.5,79,对照组,0
297,Android,8,239,1912,1,0.125,90,对照组,0
298,iOS,3,165,495,3,1.0,48,对照组,0
299,iOS,1,90,90,0,0.0,6,对照组,1
300,Android,5,154,770,5,1.0,13,对照组,0
301,iOS,2,88,176,2,1.0,55,对照组,0
302,iOS,4,150,600,3,0.75,44,对照组,0
303,iOS,3,160,480,1,0.333333333,73,对照组,0
304,Android,1,124,124,0,0.0,7,对照组,0
305,Android,3,302,906,1,0.333333333,25,对照组,0
306,iOS,13,88,1144,7,0.538461538,33,对照组,1
307,Android,4,168,672,3,0.75,69,对照组,0
308,Android,3,208,624,1,0.333333333,62,对照组,1
309,Android,6,415,2490,5,0.833333333,57,对照组,0
310,Android,3,127,381,2,0.666666667,20,对照组,1
311,Android,3,77,231,3,1.0,17,对照组,0
312,iOS,1,188,188,0,0.0,61,对照组,0
313,Android,3,320,960,1,0.333333333,68,对照组,0
314,iOS,6,115,690,5,0.833333333,87,对照组,0
315,iOS,2,175,350,0,0.0,14,对照组,0
316,Android,7,248,1736,3,0.428571429,54,对照组,0
317,iOS,3,183,549,0,0.0,67,对照组,0
318,iOS,1,127,127,0,0.0,69,对照组,1
319,iOS,5,91,455,5,1.0,11,对照组,0
320,Android,2,146,292,2,1.0,25,对照组,0
321,Android,5,219,1095,2,0.4,21,对照组,0
322,iOS,2,170,340,1,0.5,24,对照组,0
323,Android,3,171,513,2,0.666666667,53,对照组,0
324,Android,4,89,356,4,1.0,55,对照组,0
325,Android,3,204,612,1,0.333333333,62,对照组,0
326,Android,1,193,193,0,0.0,6,对照组,0
327,iOS,1,184,184,0,0.0,12,对照组,0
328,iOS,5,129,645,2,0.4,14,对照组,0
329,Android,2,153,306,0,0.0,26,对照组,1
330,Android,2,256,512,2,1.0,41,对照组,0
331,iOS,1,80,80,0,0.0,37,对照组,0
332,iOS,1,90,90,0,0.0,49,对照组,1
333,Android,1,264,264,0,0.0,31,对照组,0
334,iOS,3,169,507,0,0.0,31,对照组,0
335,Android,2,141,282,2,1.0,69,对照组,1
336,Android,1,137,137,0,0.0,50,对照组,0
337,iOS,3,159,477,0,0.0,40,对照组,0
338,iOS,4,181,724,1,0.25,67,对照组,0
339,Android,12,120,1440,3,0.25,27,对照组,0
340,Android,1,236,236,0,0.0,58,对照组,0
341,iOS,6,195,1170,2,0.333333333,50,对照组,1
342,Android,5,162,810,2,0.4,33,对照组,1
343,iOS,2,142,284,2,1.0,19,对照组,0
344,Android,3,67,201,0,0.0,12,对照组,0
345,iOS,2,176,352,0,0.0,13,对照组,0
346,iOS,3,143,429,0,0.0,30,对照组,0
347,iOS,8,167,1336,1,0.125,55,对照组,0
348,Android,4,246,984,3,0.75,68,对照组,0
349,Android,4,71,284,3,0.75,64,对照组,1
350,iOS,2,97,194,1,0.5,32,对照组,1
351,Android,1,91,91,0,0.0,17,对照组,0
352,iOS,2,176,352,0,0.0,60,对照组,0
353,iOS,6,175,1050,0,0.0,6,对照组,0
354,Android,1,209,209,0,0.0,54,对照组,0
355,Android,1,83,83,0,0.0,52,对照组,1
356,iOS,3,82,246,2,0.666666667,61,对照组,0
357,Android,1,286,286,0,0.0,24,对照组,0
358,Android,2,400,800,1,0.5,16,对照组,0
359,iOS,2,169,338,2,1.0,88,对照组,1
360,iOS,1,80,80,0,0.0,48,对照组,1
361,Android,1,265,265,0,0.0,12,对照组,1
362,iOS,4,50,200,3,0.75,72,对照组,0
363,iOS,1,86,86,0,0.0,88,对照组,0
364,Android,1,123,123,0,0.0,74,对照组,0
365,iOS,2,132,264,1,0.5,61,对照组,0
366,iOS,5,106,530,1,0.2,84,对照组,0
367,Android,2,98,196,2,1.0,85,对照组,0
368,Android,2,144,288,2,1.0,70,对照组,0
369,iOS,3,144,432,0,0.0,51,对照组,0
370,iOS,1,114,114,0,0.0,86,对照组,0
371,Android,4,122,488,2,0.5,21,对照组,0
372,Android,4,114,456,3,0.75,25,对照组,0
373,Android,2,183,366,1,0.5,84,对照组,0
374,Android,5,96,480,5,1.0,76,对照组,0
375,iOS,1,200,200,0,0.0,21,对照组,0
376,Android,6,200,1200,3,0.5,63,对照组,0
377,Android,3,175,525,2,0.666666667,11,对照组,0
378,iOS,2,226,452,0,0.0,7,对照组,0
379,Android,3,118,354,3,1.0,13,对照组,0
380,iOS,3,86,258,0,0.0,56,对照组,1
381,Android,6,352,2112,0,0.0,29,对照组,0
382,Android,1,115,115,0,0.0,78,对照组,1
383,Android,2,54,108,2,1.0,17,对照组,1
384,iOS,6,100,600,3,0.5,12,对照组,0
385,iOS,2,192,384,1,0.5,21,对照组,1
386,Android,5,115,575,0,0.0,87,对照组,1
387,iOS,9,224,2016,0,0.0,87,对照组,0
388,iOS,2,149,298,2,1.0,87,对照组,1
389,iOS,4,143,572,2,0.5,41,对照组,0
390,iOS,1,123,123,0,0.0,38,对照组,0
391,iOS,5,112,560,5,1.0,46,对照组,0
392,iOS,3,76,228,3,1.0,39,对照组,0
393,Android,4,118,472,3,0.75,15,对照组,1
394,Android,2,245,490,1,0.5,78,对照组,1
395,iOS,1,166,166,0,0.0,39,对照组,0
396,Android,4,135,540,1,0.25,26,对照组,0
397,Android,1,99,99,0,0.0,27,对照组,0
398,Android,2,214,428,2,1.0,66,对照组,0
399,Android,5,312,1560,0,0.0,12,对照组,0
400,iOS,3,280,840,1,0.333333333,8,对照组,0
401,Android,11,188,2068,10,0.909090909,33,对照组,0
402,Android,6,180,1080,3,0.5,38,对照组,0
403,iOS,2,66,132,2,1.0,23,对照组,0
404,iOS,3,123,369,2,0.666666667,78,对照组,1
405,Android,3,82,246,1,0.333333333,13,对照组,0
406,Android,1,40,40,0,0.0,15,对照组,1
407,Android,1,270,270,0,0.0,49,对照组,0
408,Android,2,81,162,0,0.0,40,对照组,1
409,Android,1,228,228,0,0.0,59,对照组,0
410,Android,3,170,510,3,1.0,5,对照组,1
411,iOS,2,153,306,0,0.0,86,对照组,0
412,Android,1,173,173,0,0.0,72,对照组,0
413,Android,4,123,492,3,0.75,68,对照组,0
414,iOS,4,353,1412,3,0.75,18,对照组,0
415,iOS,3,159,477,2,0.666666667,73,对照组,0
416,iOS,2,144,288,1,0.5,78,对照组,1
417,iOS,4,88,352,1,0.25,88,对照组,0
418,Android,4,117,468,2,0.5,44,对照组,0
419,Android,3,138,414,1,0.333333333,5,对照组,0
420,Android,2,176,352,0,0.0,17,对照组,0
421,Android,3,144,432,2,0.666666667,25,对照组,0
422,Android,6,70,420,5,0.833333333,66,对照组,1
423,Android,2,110,220,0,0.0,14,对照组,0
424,iOS,12,261,3132,1,0.083333333,11,对照组,0
425,Android,2,144,288,0,0.0,80,对照组,0
426,iOS,3,104,312,2,0.666666667,66,对照组,0
427,iOS,2,274,548,1,0.5,59,对照组,0
428,Android,3,78,234,1,0.333333333,22,对照组,0
429,iOS,1,151,151,0,0.0,38,对照组,0
430,Android,2,118,236,2,1.0,62,对照组,0
431,iOS,1,254,254,0,0.0,51,对照组,0
432,Android,3,324,972,0,0.0,73,对照组,0
433,iOS,5,153,765,5,1.0,78,对照组,0
434,Android,4,160,640,2,0.5,15,对照组,0
435,Android,1,150,150,0,0.0,54,对照组,1
436,Android,11,340,3740,9,0.818181818,62,对照组,0
437,Android,3,138,414,3,1.0,65,对照组,1
438,Android,2,196,392,1,0.5,8,对照组,0
439,iOS,3,161,483,2,0.666666667,12,对照组,1
440,iOS,3,159,477,0,0.0,18,对照组,0
441,iOS,2,323,646,1,0.5,33,对照组,0
442,Android,3,197,591,2,0.666666667,42,对照组,1
443,iOS,2,242,484,0,0.0,20,对照组,1
444,Android,2,149,298,2,1.0,42,对照组,0
445,Android,2,86,172,2,1.0,67,对照组,1
446,iOS,1,156,156,0,0.0,28,对照组,0
447,iOS,3,112,336,1,0.333333333,56,对照组,0
448,Android,4,132,528,2,0.5,5,对照组,0
449,iOS,4,131,524,0,0.0,7,对照组,0
450,Android,5,243,1215,1,0.2,26,对照组,0
451,Android,3,131,393,0,0.0,11,对照组,0
452,Android,2,175,350,1,0.5,82,对照组,0
453,Android,5,129,645,0,0.0,74,对照组,0
454,Android,1,87,87,0,0.0,30,对照组,1
455,iOS,1,226,226,0,0.0,35,对照组,0
456,iOS,1,102,102,0,0.0,68,对照组,0
457,Android,6,189,1134,2,0.333333333,37,对照组,0
458,Android,5,169,845,0,0.0,67,对照组,1
459,iOS,4,110,440,2,0.5,55,对照组,0
460,iOS,6,77,462,4,0.666666667,14,对照组,0
461,Android,1,165,165,0,0.0,27,对照组,0
462,iOS,3,188,564,3,1.0,41,对照组,0
463,Android,2,153,306,2,1.0,37,对照组,0
464,iOS,5,149,745,0,0.0,18,对照组,0
465,Android,3,126,378,2,0.666666667,2,对照组,0
466,iOS,2,75,150,0,0.0,58,对照组,0
467,Android,4,72,288,0,0.0,41,对照组,0
468,iOS,5,206,1030,3,0.6,83,对照组,0
469,iOS,2,179,358,1,0.5,67,对照组,0
470,Android,3,145,435,1,0.333333333,54,对照组,0
471,iOS,1,104,104,0,0.0,64,对照组,0
472,Android,1,152,152,0,0.0,20,对照组,0
473,iOS,3,150,450,3,1.0,33,对照组,0
474,Android,4,141,564,3,0.75,39,对照组,0
475,iOS,3,91,273,0,0.0,6,对照组,0
476,Android,1,261,261,0,0.0,23,对照组,1
477,iOS,2,254,508,1,0.5,56,对照组,1
478,Android,1,116,116,0,0.0,24,对照组,0
479,iOS,7,183,1281,0,0.0,10,对照组,1
480,Android,1,145,145,0,0.0,83,对照组,0
481,Android,7,162,1134,0,0.0,54,对照组,0
482,Android,5,94,470,3,0.6,89,对照组,0
483,iOS,1,118,118,0,0.0,12,对照组,1
484,Android,1,337,337,0,0.0,84,对照组,0
485,iOS,3,136,408,2,0.666666667,75,对照组,1
486,Android,2,131,262,0,0.0,51,对照组,0
487,iOS,3,137,411,3,1.0,57,对照组,1
488,Android,2,264,528,2,1.0,54,对照组,0
489,iOS,1,119,119,0,0.0,85,对照组,0
490,iOS,1,141,141,0,0.0,61,对照组,0
491,Android,3,248,744,1,0.333333333,24,对照组,0
492,iOS,2,197,394,2,1.0,56,对照组,1
493,iOS,2,159,318,1,0.5,31,对照组,1
494,Android,4,396,1584,2,0.5,30,对照组,0
495,iOS,6,140,840,0,0.0,89,对照组,1
496,iOS,2,138,276,2,1.0,9,对照组,0
497,iOS,2,155,310,2,1.0,62,对照组,0
498,Android,4,113,452,3,0.75,77,对照组,0
499,iOS,1,209,209,0,0.0,53,对照组,0
500,Android,3,221,663,2,0.666666667,80,对照组,0
501,iOS,4,268,1072,1,0.25,46,对照组,0
502,iOS,4,196,784,2,0.5,86,对照组,0
503,iOS,1,155,155,0,0.0,16,对照组,1
504,Android,2,125,250,0,0.0,16,对照组,0
505,iOS,1,120,120,0,0.0,58,对照组,0
506,iOS,3,81,243,2,0.666666667,83,对照组,1
507,Android,4,122,488,2,0.5,42,对照组,1
508,iOS,8,201,1608,5,0.625,69,对照组,0
509,Android,2,180,360,2,1.0,17,对照组,0
510,Android,2,187,374,1,0.5,55,对照组,0
511,iOS,6,182,1092,3,0.5,43,对照组,0
512,Android,3,187,561,1,0.333333333,6,对照组,1
513,iOS,7,75,525,3,0.428571429,47,对照组,1
514,Android,3,56,168,0,0.0,61,对照组,0
515,Android,1,147,147,0,0.0,1,对照组,1
516,iOS,1,261,261,0,0.0,11,对照组,0
517,Android,1,216,216,0,0.0,36,对照组,1
518,Android,4,72,288,0,0.0,12,对照组,0
519,Android,6,129,774,0,0.0,13,对照组,1
520,Android,10,171,1710,4,0.4,45,对照组,0
521,Android,5,160,800,2,0.4,30,对照组,0
522,iOS,6,119,714,0,0.0,8,对照组,0
523,Android,2,286,572,1,0.5,63,对照组,1
524,iOS,1,103,103,0,0.0,80,对照组,0
525,Android,5,303,1515,1,0.2,69,对照组,1
526,iOS,4,144,576,2,0.5,5,对照组,0
527,iOS,3,122,366,1,0.333333333,54,对照组,0
528,Android,4,120,480,3,0.75,39,对照组,1
529,Android,3,203,609,1,0.333333333,64,对照组,0
530,Android,7,159,1113,0,0.0,66,对照组,1
531,iOS,7,66,462,4,0.571428571,85,对照组,0
532,Android,4,178,712,0,0.0,22,对照组,0
